Condition,Drug,Indication,Type,Reviews,Effective,EaseOfUse,Satisfaction
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,994 Reviews,2.52,3.01,1.84
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,994 Reviews,2.52,3.01,1.84
Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,755 Reviews,2.78,3,2.08
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,584 Reviews,3.21,4.01,2.57
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,584 Reviews,3.21,4.01,2.57
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,584 Reviews,3.21,4.01,2.57
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,584 Reviews,3.21,4.01,2.57
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,584 Reviews,3.21,4.01,2.57
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,437 Reviews,3.26,3.23,2.42
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,437 Reviews,3.26,3.23,2.42
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,437 Reviews,3.26,3.23,2.42
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,361 Reviews,2.44,2.96,1.68
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,361 Reviews,2.44,2.96,1.68
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,353 Reviews,3.04,3.37,2.34
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,353 Reviews,3.04,3.37,2.34
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,353 Reviews,3.04,3.37,2.34
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,353 Reviews,3.04,3.37,2.34
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,222 Reviews,3,3.4,2.18
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,222 Reviews,3,3.4,2.18
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,222 Reviews,3,3.4,2.18
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,140 Reviews,2.74,3.04,2.12
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,140 Reviews,2.74,3.04,2.12
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,140 Reviews,2.74,3.04,2.12
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,140 Reviews,2.74,3.04,2.12
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,72 Reviews,2.11,2.79,1.32
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,72 Reviews,2.11,2.79,1.32
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,Off Label,RX,43 Reviews,3.29,3.47,2.59
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,40 Reviews,3.29,3.71,2.86
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,23 Reviews,3.29,4.43,3
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,20 Reviews,4,4.5,3.7
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,19 Reviews,3.8,4,3.4
Acute Bacterial Sinusitis,Ampicillin,On Label,RX,15 Reviews,3,3.25,3
Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,13 Reviews,3.33,3.33,3
Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,12 Reviews,3,2.8,2.2
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,11 Reviews,3.25,2.75,3
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,11 Reviews,3.25,2.75,3
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,11 Reviews,2.33,3.67,3
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,11 Reviews,2.33,3.67,3
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,11 Reviews,2.33,3.67,3
Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,10 Reviews,2.5,3.5,2.5
Acute Bacterial Sinusitis,Moxifloxacin-Sod.Chloride(Iso),On Label,RX,5 Reviews,2.33,2.33,2
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5 Reviews,3,5,3
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5 Reviews,3,5,3
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5 Reviews,3,5,3
Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,4 Reviews,5,4,5
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,3 Reviews,1,1,1
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,2 Reviews,5,4,4.5
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,2 Reviews,4,4,4
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,2 Reviews,4,4,4
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,1 Reviews,5,2,4
Acute Bacterial Sinusitis,Ampicillin Sodium,Off Label,RX,1 Reviews,5,5,5
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,5,1,1
